number,S1,S2,S3,S4,S5,S6,S7,S8,S9,平均数,name,level,watch (a person),stand,walk,carry/hold (an object),sit,"ride (e.g., a bike, a car, a horse)",sail boat,listen to (a person),crouch/kneel,play musical instrument,dance,lie/sleep,run/jog,martial art,"drive (e.g., a car, a truck)",touch (an object),get up,bend/bow (at the waist),Badminton_playing,Gathering,Chess_playing,Three_wheeled motorcycling,Square_dancing,Street_vending_without_equipment,Street vending_with_equipment
2,2,4,2,5,2,3,3,3,3,3,002.csv,3,580,523,756,127,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,1,2,1,3,1,1,1,1,1,1.33,003.csv,3,88,117,806,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,3,1,4,4,4,4,4,3,3.44,004.csv,1,893,1012,490,51,896,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
5,1,1,2,2,1,1,1,1,1,1.22,005.csv,3,1500,1894,1665,42,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,5,2,4,5,5,5,5,4,4.33,007.csv,2,3875,698,1566,671,1011,0,0,306,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0
8,5,4,4,5,5,5,5,5,5,4.78,008.csv,3,1458,1914,873,165,78,18,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13,4
9,3,3,1,3,3,4,4,4,3,3.11,009.csv,1,879,896,283,0,841,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
10,3,3,5,5,5,5,5,5,5,4.56,010.csv,1,2639,2069,977,71,2973,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
11,4,3,3,5,4,5,4,4,3,3.89,011.csv,1,1756,885,296,46,1187,219,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0
12,3,5,2,2,3,4,4,4,3,3.33,012.csv,1,2888,2137,697,75,1986,396,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
13,3,2,2,2,2,3,2,2,1,2.11,013.csv,1,3843,3142,942,75,2158,414,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,3,3,3,3,3,2,1,1,3,2.44,018.csv,2,1748,1504,52,2,789,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
19,3,5,3,2,4,4,5,4,5,3.89,019.csv,1,909,87,308,130,32,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,2,0,0
21,4,5,5,5,5,5,5,4,5,4.78,021.csv,1,852,732,1074,0,205,45,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
