全局熵,LEDI,边缘密度,局部熵均值,局部熵标准差,局部熵最大值,局部熵90分位数,局部熵中位数,图像路径,类别编号,图像来源
7.445218597,0.505995348,0.063201366,3.767245975,1.265488959,6.142319139,5.342678399,3.902915335,C:\Users\GHOST_AKU\Desktop\input\original\100\1743513668928.png,100,original
7.523988389,0.507043431,0.064474213,3.814988885,1.241016721,6.191701855,5.370352163,3.942068898,C:\Users\GHOST_AKU\Desktop\input\original\100\1743513693070.png,100,original
7.457652907,0.512924973,0.063486359,3.825216415,1.207432571,6.142319139,5.331840861,3.947817567,C:\Users\GHOST_AKU\Desktop\input\original\100\1743513764912.png,100,original
7.117770229,0.573335137,0.047631733,4.080867771,0.999605507,6.092936423,5.142715597,4.265216752,C:\Users\GHOST_AKU\Desktop\input\original\103\1743513780814.png,103,original
7.213702385,0.56881175,0.052032788,4.10323868,1.019480194,6.191701855,5.177640552,4.306710461,C:\Users\GHOST_AKU\Desktop\input\original\103\1743513801194.png,103,original
7.182416924,0.567672993,0.050263539,4.077264116,1.019896707,6.142319139,5.158484762,4.286036732,C:\Users\GHOST_AKU\Desktop\input\original\103\1743513819822.png,103,original
7.733958572,0.50068455,0.075507093,3.872273564,1.54644375,6.216393213,5.577202626,4.246094976,C:\Users\GHOST_AKU\Desktop\input\original\131\1743513837781.png,131,original
7.732329314,0.501107128,0.075793557,3.874725337,1.546385039,6.241084571,5.571469374,4.250809715,C:\Users\GHOST_AKU\Desktop\input\original\131\1743513855130.png,131,original
7.723912529,0.510953975,0.076835541,3.946563806,1.502506234,6.231764972,5.589789663,4.318064591,C:\Users\GHOST_AKU\Desktop\input\original\131\1743513876076.png,131,original
7.680804432,0.533486332,0.080026825,4.097604183,1.260023949,6.231764972,5.399862775,4.464065833,C:\Users\GHOST_AKU\Desktop\input\original\145\1743513901474.png,145,original
7.728160523,0.489143091,0.079567796,3.780176329,1.520379218,6.216393213,5.501895645,4.10878219,C:\Users\GHOST_AKU\Desktop\input\original\153\1743513982812.png,153,original
7.731629581,0.502852319,0.079039402,3.887867866,1.519156293,6.216393213,5.552511268,4.254345338,C:\Users\GHOST_AKU\Desktop\input\original\153\1743514005225.png,153,original
7.726028126,0.500143689,0.077573389,3.864124209,1.53504198,6.241084571,5.551278361,4.228471797,C:\Users\GHOST_AKU\Desktop\input\original\153\1743514030554.png,153,original
7.752943546,0.582306368,0.134487935,4.514588401,1.096022414,6.241084571,5.635904941,4.799502398,C:\Users\GHOST_AKU\Desktop\input\original\164\1743514050582.png,164,original
7.689020952,0.588091877,0.132603529,4.521850764,1.082387393,6.191701855,5.635904941,4.788630984,C:\Users\GHOST_AKU\Desktop\input\original\164\1743514068601.png,164,original
7.670193007,0.587033568,0.130648213,4.502660771,1.066908747,6.216393213,5.635904941,4.762706719,C:\Users\GHOST_AKU\Desktop\input\original\164\1743514085429.png,164,original
7.362371695,0.557609031,0.086018641,4.105324944,1.670203877,6.216393213,5.472703942,4.687831021,C:\Users\GHOST_AKU\Desktop\input\original\21\1743513445861.png,21,original
7.378366592,0.553906053,0.085460147,4.086921918,1.637705002,6.216393213,5.450478398,4.642353559,C:\Users\GHOST_AKU\Desktop\input\original\21\1743513473989.png,21,original
7.355057378,0.557167596,0.084949094,4.097999641,1.666002724,6.216393213,5.467884688,4.675310869,C:\Users\GHOST_AKU\Desktop\input\original\21\1743513499366.png,21,original
7.618597543,0.562784251,0.12374578,4.287626712,1.320713061,6.216393213,5.6512767,4.634232992,C:\Users\GHOST_AKU\Desktop\input\original\68\1743513520951.png,68,original
7.593851189,0.574560047,0.129029455,4.363123494,1.280179939,6.216393213,5.674735151,4.724911732,C:\Users\GHOST_AKU\Desktop\input\original\68\1743513543561.png,68,original
7.573409642,0.573904578,0.129189242,4.346414465,1.351827414,6.216393213,5.674735151,4.739567176,C:\Users\GHOST_AKU\Desktop\input\original\68\1743513576925.png,68,original
7.796408906,0.59119348,0.142184142,4.609186111,1.093686073,6.216393213,5.679235497,4.935029633,C:\Users\GHOST_AKU\Desktop\input\original\7\1743513358510.png,7,original
7.78128967,0.590977052,0.14247705,4.59856363,1.065000141,6.231764972,5.669915898,4.910854868,C:\Users\GHOST_AKU\Desktop\input\original\7\1743513385553.png,7,original
7.796096691,0.594441155,0.143417281,4.634320724,1.057132833,6.241084571,5.675968058,4.941933967,C:\Users\GHOST_AKU\Desktop\input\original\7\1743513408234.png,7,original
7.721684611,0.541583729,0.093710545,4.181938749,1.185841538,6.167010497,5.395043521,4.484851936,C:\Users\GHOST_AKU\Desktop\input\original\79\1743513597933.png,79,original
7.718079903,0.527823447,0.092489546,4.07378354,1.238906707,6.157690898,5.359799657,4.388113178,C:\Users\GHOST_AKU\Desktop\input\original\79\1743513614511.png,79,original
7.734115813,0.530888965,0.089446789,4.105956741,1.229340111,6.191701855,5.385723922,4.413079868,C:\Users\GHOST_AKU\Desktop\input\original\79\1743513639110.png,79,original
6.888457147,0.194603471,8.56E-05,1.340517671,1.084017267,5.76868133,2.867778907,1.170729707,C:\Users\GHOST_AKU\Desktop\input\deepth\100\1743513668928_depth.png,100,deepth
6.894623857,0.193354929,9.14E-06,1.333109508,1.07563505,5.737937811,2.835419992,1.170729707,C:\Users\GHOST_AKU\Desktop\input\deepth\100\1743513693070_depth.png,100,deepth
6.899290543,0.19492585,9.38E-05,1.344850074,1.073917248,5.734670373,2.828202826,1.203876143,C:\Users\GHOST_AKU\Desktop\input\deepth\100\1743513764912_depth.png,100,deepth
7.080437793,0.221552652,0.000111918,1.568689767,1.080016215,6.13299954,2.854024604,1.526353426,C:\Users\GHOST_AKU\Desktop\input\deepth\103\1743513780814_depth.png,103,deepth
7.066590838,0.222298249,0.000204241,1.570890769,1.111285876,6.142319139,2.957981448,1.511213627,C:\Users\GHOST_AKU\Desktop\input\deepth\103\1743513801194_depth.png,103,deepth
7.069303746,0.22210352,0.000105378,1.570117246,1.09540847,6.117627781,2.916028943,1.522441285,C:\Users\GHOST_AKU\Desktop\input\deepth\103\1743513819822_depth.png,103,deepth
